Shipping Id,Shipping Mode,Days for shipping (real),Days for shipment (scheduled)
382,Standard Class,4,4
383,Standard Class,3,4
384,First Class,2,1
385,First Class,2,1
386,First Class,2,1
387,First Class,2,1
388,Same Day,0,0
389,Same Day,0,0
390,Same Day,0,0
391,Standard Class,5,4
392,Standard Class,4,4
393,Standard Class,3,4
394,Standard Class,2,4
395,Standard Class,6,4
396,Standard Class,5,4
397,Second Class,4,2
398,Standard Class,3,4
399,Second Class,2,2
400,First Class,2,1
401,Second Class,5,2
402,Second Class,4,2
403,Standard Class,3,4
404,Standard Class,2,4
405,Standard Class,6,4
406,Standard Class,5,4
407,Second Class,4,2
408,Second Class,3,2
409,Standard Class,2,4
410,Standard Class,6,4
411,Standard Class,5,4
412,Second Class,4,2
413,Standard Class,3,4
414,Standard Class,2,4
415,Second Class,6,2
416,Second Class,5,2
417,First Class,2,1
418,First Class,2,1
419,Second Class,2,2
420,Second Class,6,2
421,Second Class,5,2
422,First Class,2,1
423,First Class,2,1
424,First Class,2,1
425,Standard Class,6,4
426,Standard Class,5,4
427,Standard Class,4,4
428,Standard Class,3,4
429,Standard Class,2,4
430,Standard Class,6,4
431,Standard Class,5,4
432,Standard Class,4,4
433,Standard Class,3,4
434,Standard Class,2,4
435,Standard Class,6,4
436,Standard Class,5,4
437,Standard Class,4,4
438,Standard Class,3,4
439,Standard Class,2,4
440,Standard Class,6,4
441,Standard Class,5,4
442,Second Class,4,2
443,Second Class,3,2
444,First Class,2,1
445,Second Class,6,2
446,Second Class,5,2
447,Second Class,4,2
448,Same Day,1,0
449,Same Day,1,0
450,Same Day,1,0
451,Same Day,1,0
452,Same Day,1,0
453,Same Day,1,0
454,Same Day,1,0
455,Standard Class,6,4
456,Standard Class,5,4
457,Standard Class,4,4
458,Standard Class,3,4
459,Second Class,6,2
460,Second Class,6,2
461,Second Class,2,2
462,Second Class,6,2
463,Second Class,5,2
464,Second Class,3,2
465,Second Class,3,2
466,Second Class,2,2
467,Second Class,2,2
468,Second Class,6,2
469,Second Class,2,2
470,Second Class,5,2
471,Second Class,5,2
472,Second Class,3,2
473,Second Class,5,2
474,Second Class,6,2
475,Second Class,2,2
476,Second Class,5,2
477,Second Class,5,2
478,Second Class,4,2
479,Second Class,6,2
480,Second Class,3,2
481,Second Class,2,2
482,Second Class,6,2
483,Second Class,2,2
484,Second Class,2,2
485,Second Class,4,2
486,Second Class,3,2
487,Second Class,3,2
488,Second Class,2,2
489,Second Class,3,2
490,Second Class,2,2
491,Second Class,4,2
492,Second Class,2,2
493,Second Class,3,2
494,Second Class,5,2
495,Second Class,2,2
496,Second Class,3,2
497,Second Class,2,2
498,Second Class,5,2
499,Second Class,4,2
500,Second Class,3,2
